lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
CC Synch,0,0,1221402,33675,34.193,2
CC Synch,1,1,3590053,33101,99.836,2
CC Synch,2,2,1208922,33455,33.873,2
CC Synch,3,3,3631081,33714,101.540,2
CC Synch,4,4,1165395,33378,33.840,2
CC Synch,5,5,3611310,33429,100.676,2
CC Synch,6,6,1205676,33283,33.731,2
CC Synch,7,7,3622443,33360,100.573,2
CC Synch,8,8,1205913,33477,34.381,2
CC Synch,9,9,3604854,33284,100.211,2
CC Synch,10,10,1147684,33180,33.641,2
CC Synch,11,11,3624327,33631,101.261,2
CC Synch,12,12,1187798,33116,33.640,2
CC Synch,13,13,3620737,33572,101.183,2
CC Synch,14,14,1201397,33297,33.712,2
CC Synch,15,15,3626144,33384,100.497,2
CC Synch,16,16,1205454,33304,33.769,2
CC Synch,17,17,3594280,33137,99.837,2
CC Synch,18,18,1212495,33526,33.937,2
CC Synch,19,19,3610061,33332,100.485,2
CC Synch,20,20,1200085,33216,33.615,2
CC Synch,21,21,3553999,32876,98.999,2
CC Synch,22,22,1194425,33431,33.883,2
CC Synch,23,23,3614256,33272,100.204,2
CC Synch,24,24,1199239,33366,33.740,2
CC Synch,25,25,3561979,32909,99.139,2
CC Synch,26,26,1199561,33467,33.886,2
CC Synch,27,27,3594843,33183,100.383,2
CC Synch,28,28,1174920,33221,33.612,2
CC Synch,29,29,3575679,32942,99.164,2
CC Synch,30,30,1176528,33462,33.896,2
CC Synch,31,31,3598906,33157,99.842,2
