lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining,0,0,1406477,40051,40.452,5
Flat Combining,1,1,4254891,40219,145.147,5
Flat Combining,2,2,1290106,38281,38.781,5
Flat Combining,3,3,3993493,38462,126.451,5
Flat Combining,4,4,1364792,39885,40.417,5
Flat Combining,5,5,4114514,39654,119.702,5
Flat Combining,6,6,1430855,40671,42.358,5
Flat Combining,7,7,4306498,40635,122.619,5
Flat Combining,8,8,1418167,40512,52.995,5
Flat Combining,9,9,4278299,40591,133.746,5
Flat Combining,10,10,1401270,40483,41.017,5
Flat Combining,11,11,4215463,40320,149.879,5
Flat Combining,12,12,1371343,39297,39.835,5
Flat Combining,13,13,4141885,39326,118.634,5
Flat Combining,14,14,1355778,39613,40.195,5
Flat Combining,15,15,4206785,39713,119.689,5
Flat Combining,16,16,1424616,40561,40.998,5
Flat Combining,17,17,4267284,40343,121.703,5
Flat Combining,18,18,1371456,39789,40.300,5
Flat Combining,19,19,4138266,39546,119.288,5
Flat Combining,20,20,1343189,38947,44.886,5
Flat Combining,21,21,4147604,39615,129.700,5
Flat Combining,22,22,1404108,40596,41.163,5
Flat Combining,23,23,4302492,40613,122.505,5
Flat Combining,24,24,1428024,40664,41.131,5
Flat Combining,25,25,4272687,40681,122.729,5
Flat Combining,26,26,1333891,40427,40.928,5
Flat Combining,27,27,4273715,40475,122.000,5
Flat Combining,28,28,1376287,39281,39.837,5
Flat Combining,29,29,4144249,39365,128.692,5
Flat Combining,30,30,1398346,39647,40.059,5
Flat Combining,31,31,4173785,39415,131.998,5
Flat Combining,32,0,1397171,39696,51.992,5
Flat Combining,33,1,4243620,40057,131.900,5
Flat Combining,34,2,1287586,37968,38.429,5
Flat Combining,35,3,4009163,38744,128.240,5
Flat Combining,36,4,1359595,39749,40.259,5
Flat Combining,37,5,4109560,39560,132.999,5
Flat Combining,38,6,1362868,40497,41.069,5
Flat Combining,39,7,4293798,40520,127.631,5
Flat Combining,40,8,1433048,40387,40.875,5
Flat Combining,41,9,4278662,40407,121.887,5
Flat Combining,42,10,1383645,40347,40.861,5
Flat Combining,43,11,4257085,40232,132.673,5
Flat Combining,44,12,1388127,39289,39.743,5
Flat Combining,45,13,4137974,39169,130.105,5
Flat Combining,46,14,1376057,39473,40.006,5
Flat Combining,47,15,4197026,39622,141.883,5
Flat Combining,48,16,1430688,40457,40.922,5
Flat Combining,49,17,4240571,40243,127.140,5
Flat Combining,50,18,1358909,39668,40.168,5
Flat Combining,51,19,4122401,39385,118.820,5
Flat Combining,52,20,1324146,39173,39.725,5
Flat Combining,53,21,4170093,39494,123.486,5
Flat Combining,54,22,1428692,40464,40.944,5
Flat Combining,55,23,4289895,40530,124.215,5
Flat Combining,56,24,1437436,40519,40.997,5
Flat Combining,57,25,4291872,40579,136.331,5
Flat Combining,58,26,1406237,40312,40.806,5
Flat Combining,59,27,4267435,40374,160.704,5
Flat Combining,60,28,1377817,39154,39.636,5
Flat Combining,61,29,4093421,39029,117.833,5
Flat Combining,62,30,1402284,39498,39.914,5
Flat Combining,63,31,4177615,39419,118.806,5
