lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining (fair, priority queue),0,0,2170888,58396,58.836,2
Flat Combining (fair, priority queue),1,1,6586826,58966,177.647,2
Flat Combining (fair, priority queue),2,2,2204589,58953,59.453,2
Flat Combining (fair, priority queue),3,3,6585511,58948,177.605,2
Flat Combining (fair, priority queue),4,4,2197313,58943,59.502,2
Flat Combining (fair, priority queue),5,5,6594058,58940,177.610,2
Flat Combining (fair, priority queue),6,6,2197439,58935,59.406,2
Flat Combining (fair, priority queue),7,7,6592371,58935,177.646,2
Flat Combining (fair, priority queue),8,8,2201055,58933,59.381,2
Flat Combining (fair, priority queue),9,9,6559311,58933,177.560,2
Flat Combining (fair, priority queue),10,10,2188159,58929,59.318,2
Flat Combining (fair, priority queue),11,11,6583267,58927,177.525,2
Flat Combining (fair, priority queue),12,12,2199332,58925,59.377,2
Flat Combining (fair, priority queue),13,13,6586512,58929,177.599,2
Flat Combining (fair, priority queue),14,14,1600403,44701,45.109,2
Flat Combining (fair, priority queue),15,15,6589439,58926,177.580,2
