lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Remote Core Locking,0,0,12766594,342850,345.449,10
Remote Core Locking,1,1,38331581,342812,1034.554,10
Remote Core Locking,2,2,12806441,342795,345.970,10
Remote Core Locking,3,3,38329228,342780,1034.260,10
Remote Core Locking,4,4,12780319,342770,346.041,10
Remote Core Locking,5,5,38327356,342763,1034.253,10
Remote Core Locking,6,6,12828329,342756,347.112,10
Remote Core Locking,7,7,38327179,342751,1033.616,10
Remote Core Locking,8,8,12739981,342749,345.349,10
Remote Core Locking,9,9,38327141,342743,1033.672,10
Remote Core Locking,10,10,12808565,342739,346.701,10
Remote Core Locking,11,11,38328197,342736,1033.848,10
Remote Core Locking,12,12,12739261,342732,344.746,10
Remote Core Locking,13,13,38326366,342729,1033.439,10
Remote Core Locking,14,14,12904676,342727,347.468,10
Remote Core Locking,15,0,38325121,342718,1033.680,10
