lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining,0,0,1051148,59673,65.179,2
Flat Combining,1,1,3255705,59808,186.095,2
Flat Combining,2,2,1094479,59805,66.189,2
Flat Combining,3,3,3286340,59803,185.975,2
Flat Combining,4,4,1106877,59798,66.383,2
Flat Combining,5,5,3326784,59796,185.697,2
Flat Combining,6,6,1195476,59793,66.711,2
Flat Combining,7,7,3223755,59792,185.470,2
Flat Combining,8,8,1307431,59788,65.725,2
Flat Combining,9,9,3455022,59788,186.110,2
Flat Combining,10,10,1379235,59788,65.135,2
Flat Combining,11,11,3452414,59786,186.145,2
Flat Combining,12,12,1245230,59784,65.352,2
Flat Combining,13,13,3436213,59782,186.170,2
Flat Combining,14,14,1341345,59780,65.405,2
Flat Combining,15,15,3050895,59601,185.448,2
