lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Remote Core Locking,0,0,2551312,67945,68.724,2
Remote Core Locking,1,1,7599443,67924,204.684,2
Remote Core Locking,2,2,2533511,67912,68.360,2
Remote Core Locking,3,3,7596971,67903,204.582,2
Remote Core Locking,4,4,2540995,67899,68.515,2
Remote Core Locking,5,5,7595937,67894,204.512,2
Remote Core Locking,6,6,2550533,67890,68.560,2
Remote Core Locking,7,7,7594182,67887,204.582,2
Remote Core Locking,8,8,2542739,67885,68.560,2
Remote Core Locking,9,9,7592924,67883,204.563,2
Remote Core Locking,10,10,2530747,67881,68.369,2
Remote Core Locking,11,11,7592542,67879,204.590,2
Remote Core Locking,12,12,2533714,67878,68.364,2
Remote Core Locking,13,13,7592760,67876,204.562,2
Remote Core Locking,14,14,2525161,67874,68.280,2
Remote Core Locking,15,0,7559878,67575,203.659,2
