lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining (fair),0,0,1427150,42095,42.504,2
Flat Combining (fair),1,1,2177736,21041,63.341,2
Flat Combining (fair),2,2,1357204,42731,43.118,2
Flat Combining (fair),3,3,2211039,21019,63.267,2
Flat Combining (fair),4,4,1456922,42899,43.307,2
Flat Combining (fair),5,5,2205253,20997,63.210,2
Flat Combining (fair),6,6,1473483,43215,43.643,2
Flat Combining (fair),7,7,2189187,21028,63.270,2
Flat Combining (fair),8,8,1401518,41844,42.254,2
Flat Combining (fair),9,9,2213938,21077,63.427,2
Flat Combining (fair),10,10,1426759,42567,42.978,2
Flat Combining (fair),11,11,2180779,20924,62.957,2
Flat Combining (fair),12,12,1464922,42878,43.289,2
Flat Combining (fair),13,13,2208409,21033,63.303,2
Flat Combining (fair),14,14,1419037,42524,42.922,2
Flat Combining (fair),15,15,2186740,21025,63.279,2
Flat Combining (fair),16,16,1422266,41917,42.327,2
Flat Combining (fair),17,17,2162688,20952,63.047,2
Flat Combining (fair),18,18,1362320,42411,42.810,2
Flat Combining (fair),19,19,2168652,20886,62.853,2
Flat Combining (fair),20,20,1401029,42283,42.693,2
Flat Combining (fair),21,21,2188925,20955,63.059,2
Flat Combining (fair),22,22,1439659,42352,42.750,2
Flat Combining (fair),23,23,2202432,21048,63.347,2
Flat Combining (fair),24,24,1417580,42109,42.506,2
Flat Combining (fair),25,25,2176189,20784,62.545,2
Flat Combining (fair),26,26,1380947,42404,42.800,2
Flat Combining (fair),27,27,2129454,20862,62.798,2
Flat Combining (fair),28,28,1402864,42437,42.823,2
Flat Combining (fair),29,29,2200139,20920,62.938,2
Flat Combining (fair),30,30,1352388,42054,42.457,2
Flat Combining (fair),31,31,2155836,20798,62.589,2
