lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
CC Synch,0,0,271967,7458,27.529,2
CC Synch,1,1,814108,7594,42.806,2
CC Synch,2,2,256957,7191,27.244,2
CC Synch,3,3,811887,7503,42.603,2
CC Synch,4,4,288783,7997,8.093,2
CC Synch,5,5,800265,7354,22.102,2
CC Synch,6,6,260731,7167,7.252,2
CC Synch,7,7,789490,7258,41.793,2
CC Synch,8,8,281552,7749,7.852,2
CC Synch,9,9,815445,7619,42.922,2
CC Synch,10,10,253117,7111,7.199,2
CC Synch,11,11,897232,8314,64.955,2
CC Synch,12,12,261851,7185,7.274,2
CC Synch,13,13,841363,7737,43.236,2
CC Synch,14,14,244091,6689,26.735,2
CC Synch,15,15,806392,7429,22.335,2
CC Synch,16,16,271683,7446,7.542,2
CC Synch,17,17,845088,7955,53.887,2
CC Synch,18,18,276627,7780,7.874,2
CC Synch,19,19,771189,7127,81.333,2
CC Synch,20,20,259935,7152,7.245,2
CC Synch,21,21,819089,7528,37.613,2
CC Synch,22,22,242100,6648,6.730,2
CC Synch,23,23,806263,7429,22.330,2
CC Synch,24,24,287045,7899,8.008,2
CC Synch,25,25,865988,8083,44.274,2
CC Synch,26,26,290691,8143,8.243,2
CC Synch,27,27,789401,7297,21.949,2
CC Synch,28,28,272557,7474,27.532,2
CC Synch,29,29,737644,6780,60.321,2
CC Synch,30,30,225920,6198,6.271,2
CC Synch,31,31,787065,7236,21.765,2
CC Synch,32,0,254549,7003,7.085,2
CC Synch,33,1,736359,6888,60.645,2
CC Synch,34,2,253794,7109,7.189,2
CC Synch,35,3,728423,6747,20.287,2
CC Synch,36,4,236879,6522,26.567,2
CC Synch,37,5,780521,7182,41.561,2
CC Synch,38,6,266320,7322,7.418,2
CC Synch,39,7,783891,7217,21.710,2
CC Synch,40,8,226288,6252,26.298,2
CC Synch,41,9,733728,6874,40.641,2
CC Synch,42,10,261735,7333,27.393,2
CC Synch,43,11,652633,6031,18.189,2
CC Synch,44,12,263423,7249,27.301,2
CC Synch,45,13,734278,6748,20.290,2
CC Synch,46,14,254794,7008,27.060,2
CC Synch,47,15,735216,6763,60.273,2
CC Synch,48,16,257694,7075,7.158,2
CC Synch,49,17,695899,6543,19.682,2
CC Synch,50,18,239192,6672,6.749,2
CC Synch,51,19,795757,7350,42.082,2
CC Synch,52,20,265475,7305,7.393,2
CC Synch,53,21,739815,6803,80.354,2
CC Synch,54,22,286639,7861,7.958,2
CC Synch,55,23,760047,7008,61.010,2
CC Synch,56,24,238521,6531,26.626,2
CC Synch,57,25,687174,6435,29.629,2
CC Synch,58,26,222209,6249,6.321,2
CC Synch,59,27,762731,7058,41.213,2
CC Synch,60,28,254069,6969,7.050,2
CC Synch,61,29,812861,7488,42.480,2
CC Synch,62,30,297504,8178,28.256,2
CC Synch,63,31,792171,7274,21.871,2
