lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Remote Core Locking,0,0,612069,17518,17.668,2
Remote Core Locking,1,1,1824441,17498,52.711,2
Remote Core Locking,2,2,610988,17488,17.630,2
Remote Core Locking,3,3,1823282,17484,52.656,2
Remote Core Locking,4,4,610689,17480,17.645,2
Remote Core Locking,5,5,1822546,17478,52.651,2
Remote Core Locking,6,6,605371,17326,17.486,2
Remote Core Locking,7,7,1821826,17473,52.638,2
Remote Core Locking,8,8,609951,17460,17.620,2
Remote Core Locking,9,9,1821424,17470,52.607,2
Remote Core Locking,10,10,610312,17469,17.631,2
Remote Core Locking,11,11,1821461,17467,52.619,2
Remote Core Locking,12,12,571813,16366,16.506,2
Remote Core Locking,13,13,1760477,16882,50.824,2
Remote Core Locking,14,14,544910,15596,15.745,2
Remote Core Locking,15,15,1821389,17462,52.577,2
Remote Core Locking,16,16,610204,17460,17.597,2
Remote Core Locking,17,17,1822138,17459,52.564,2
Remote Core Locking,18,18,609983,17457,17.606,2
Remote Core Locking,19,19,1820369,17455,52.555,2
Remote Core Locking,20,20,609711,17455,17.602,2
Remote Core Locking,21,21,1820007,17454,52.547,2
Remote Core Locking,22,22,607107,17379,17.554,2
Remote Core Locking,23,23,1819830,17452,52.536,2
Remote Core Locking,24,24,601181,17208,17.361,2
Remote Core Locking,25,25,1819425,17450,52.541,2
Remote Core Locking,26,26,599098,17146,17.294,2
Remote Core Locking,27,27,1819587,17447,52.518,2
Remote Core Locking,28,28,609232,17437,17.597,2
Remote Core Locking,29,29,1818877,17447,52.560,2
Remote Core Locking,30,30,607461,17389,17.545,2
Remote Core Locking,31,0,1810329,17362,52.291,2
Remote Core Locking,32,1,606612,17361,17.515,2
Remote Core Locking,33,2,1811641,17375,52.308,2
Remote Core Locking,34,3,606778,17374,17.542,2
Remote Core Locking,35,4,1811267,17374,52.320,2
Remote Core Locking,36,5,606895,17374,17.524,2
Remote Core Locking,37,6,1796039,17221,51.830,2
Remote Core Locking,38,7,606931,17373,17.515,2
Remote Core Locking,39,8,1810396,17360,52.277,2
Remote Core Locking,40,9,606878,17372,17.543,2
Remote Core Locking,41,10,1810924,17372,52.373,2
Remote Core Locking,42,11,606881,17372,17.525,2
Remote Core Locking,43,12,1696731,16273,48.990,2
Remote Core Locking,44,13,586517,16791,16.949,2
Remote Core Locking,45,14,1617126,15506,46.694,2
Remote Core Locking,46,15,606712,17370,17.523,2
Remote Core Locking,47,16,1812848,17370,52.305,2
Remote Core Locking,48,17,606803,17370,17.528,2
Remote Core Locking,49,18,1811268,17369,52.294,2
Remote Core Locking,50,19,606757,17368,17.519,2
Remote Core Locking,51,20,1810965,17369,52.300,2
Remote Core Locking,52,21,606834,17368,17.509,2
Remote Core Locking,53,22,1803447,17293,52.074,2
Remote Core Locking,54,23,606815,17367,17.508,2
Remote Core Locking,55,24,1785593,17125,51.581,2
Remote Core Locking,56,25,606864,17367,17.509,2
Remote Core Locking,57,26,1779639,17062,51.396,2
Remote Core Locking,58,27,606838,17365,17.506,2
Remote Core Locking,59,28,1809800,17354,52.278,2
Remote Core Locking,60,29,606538,17366,17.533,2
Remote Core Locking,61,30,1813551,17390,52.364,2
Remote Core Locking,62,0,607548,17394,17.553,2
Remote Core Locking,63,1,1813785,17394,52.380,2
