lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Spin Lock,0,0,0,0,0.000,2
Spin Lock,1,1,0,0,0.000,2
Spin Lock,2,2,0,0,0.000,2
Spin Lock,3,3,0,0,0.000,2
Spin Lock,4,4,0,0,0.000,2
Spin Lock,5,5,0,0,0.000,2
Spin Lock,6,6,0,0,0.000,2
Spin Lock,7,7,0,0,0.000,2
Spin Lock,8,8,0,0,0.000,2
Spin Lock,9,9,0,0,0.000,2
Spin Lock,10,10,0,0,0.000,2
Spin Lock,11,11,0,0,0.000,2
Spin Lock,12,12,0,0,0.000,2
Spin Lock,13,13,0,0,0.000,2
Spin Lock,14,14,0,0,0.000,2
Spin Lock,15,15,0,0,0.000,2
Spin Lock,16,16,0,0,0.000,2
Spin Lock,17,17,0,0,0.000,2
Spin Lock,18,18,0,0,0.000,2
Spin Lock,19,19,0,0,0.000,2
Spin Lock,20,20,0,0,0.000,2
Spin Lock,21,21,0,0,0.000,2
Spin Lock,22,22,0,0,0.000,2
Spin Lock,23,23,0,0,0.000,2
Spin Lock,24,24,0,0,0.000,2
Spin Lock,25,25,0,0,0.000,2
Spin Lock,26,26,0,0,0.000,2
Spin Lock,27,27,0,0,0.000,2
Spin Lock,28,28,0,0,0.000,2
Spin Lock,29,29,0,0,0.000,2
Spin Lock,30,30,0,0,0.000,2
Spin Lock,31,31,0,0,0.000,2
