lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Ticket Lock,0,0,795506,26354,26.489,2
Ticket Lock,1,1,2704766,26330,79.327,2
Ticket Lock,2,2,788133,26280,26.391,2
Ticket Lock,3,3,2699766,26280,79.247,2
Ticket Lock,4,4,815790,26307,26.437,2
Ticket Lock,5,5,2730337,26279,79.016,2
Ticket Lock,6,6,788277,26300,26.697,2
Ticket Lock,7,7,2702284,26296,79.214,2
Ticket Lock,8,8,793803,26279,26.450,2
Ticket Lock,9,9,2700722,26279,79.240,2
Ticket Lock,10,10,787374,26279,26.403,2
Ticket Lock,11,11,2721476,26279,79.181,2
Ticket Lock,12,12,795413,26279,26.466,2
Ticket Lock,13,13,2730601,26278,79.067,2
Ticket Lock,14,14,821930,26280,26.441,2
Ticket Lock,15,15,2705021,26277,79.039,2
Ticket Lock,16,16,807904,26277,26.388,2
Ticket Lock,17,17,2701963,26276,79.192,2
Ticket Lock,18,18,787299,26275,26.377,2
Ticket Lock,19,19,2712418,26274,79.040,2
Ticket Lock,20,20,945353,26274,26.488,2
Ticket Lock,21,21,2848484,26271,79.043,2
Ticket Lock,22,22,802717,26273,26.373,2
Ticket Lock,23,23,2700085,26272,79.147,2
Ticket Lock,24,24,824721,26272,26.562,2
Ticket Lock,25,25,2698960,26271,79.161,2
Ticket Lock,26,26,797799,26271,26.541,2
Ticket Lock,27,27,2702304,26270,79.072,2
Ticket Lock,28,28,814284,26270,26.329,2
Ticket Lock,29,29,2701644,26270,78.967,2
Ticket Lock,30,30,816515,26270,26.379,2
Ticket Lock,31,31,2730147,26269,79.003,2
