lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining,0,0,1196912,33617,34.029,2
Flat Combining,1,1,3619319,33723,102.058,2
Flat Combining,2,2,1035101,32890,33.532,2
Flat Combining,3,3,3427318,33696,101.688,2
Flat Combining,4,4,989935,33677,34.128,2
Flat Combining,5,5,3401758,33674,103.486,2
Flat Combining,6,6,964216,33670,33.994,2
Flat Combining,7,7,3646271,33663,101.602,2
Flat Combining,8,8,1173206,33605,33.926,2
Flat Combining,9,9,3596137,33246,100.350,2
Flat Combining,10,10,885911,33609,34.049,2
Flat Combining,11,11,3422718,33649,101.425,2
Flat Combining,12,12,985962,33646,34.014,2
Flat Combining,13,13,3542855,33599,101.357,2
Flat Combining,14,14,1142241,33383,33.782,2
Flat Combining,15,15,3643814,33624,101.426,2
Flat Combining,16,16,1206936,33636,34.010,2
Flat Combining,17,17,3645810,33637,101.429,2
Flat Combining,18,18,955242,33623,34.023,2
Flat Combining,19,19,3419354,33585,101.799,2
Flat Combining,20,20,984159,33634,34.026,2
Flat Combining,21,21,3391202,33631,101.378,2
Flat Combining,22,22,967057,33630,34.001,2
Flat Combining,23,23,3633398,33550,101.279,2
Flat Combining,24,24,1164034,32981,33.395,2
Flat Combining,25,25,3639963,33608,101.407,2
Flat Combining,26,26,884877,33622,34.156,2
Flat Combining,27,27,3411286,33621,101.443,2
Flat Combining,28,28,977509,33590,33.941,2
Flat Combining,29,29,3363746,33618,101.398,2
Flat Combining,30,30,939118,33618,34.024,2
Flat Combining,31,31,3644368,33615,101.360,2
