lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Mutex,0,0,1197348,35998,36.325,2
Mutex,1,1,3827108,35435,106.719,2
Mutex,2,2,1168822,34721,35.050,2
Mutex,3,3,5781374,52914,159.430,2
Mutex,4,4,1064680,32232,32.532,2
Mutex,5,5,4994490,45823,138.026,2
Mutex,6,6,1140113,34333,34.665,2
Mutex,7,7,5292085,48462,145.973,2
Mutex,8,8,1070950,31934,32.235,2
Mutex,9,9,4083632,37659,113.446,2
Mutex,10,10,1062029,32169,32.435,2
Mutex,11,11,3778801,35087,105.697,2
Mutex,12,12,1320380,38531,38.922,2
Mutex,13,13,21415658,193433,583.189,2
Mutex,14,14,1032567,31308,31.593,2
Mutex,15,15,6332388,57615,173.577,2
