lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining (fair priority queue),0,0,972629,28855,29.144,2
Flat Combining (fair priority queue),1,1,3024490,28810,86.694,2
Flat Combining (fair priority queue),2,2,984763,28785,29.076,2
Flat Combining (fair priority queue),3,3,2982478,28783,86.615,2
Flat Combining (fair priority queue),4,4,1000761,28780,29.088,2
Flat Combining (fair priority queue),5,5,2984798,28779,86.601,2
Flat Combining (fair priority queue),6,6,988372,28775,29.094,2
Flat Combining (fair priority queue),7,7,2967833,28774,86.596,2
Flat Combining (fair priority queue),8,8,969864,28771,29.065,2
Flat Combining (fair priority queue),9,9,3011429,28770,86.584,2
Flat Combining (fair priority queue),10,10,978365,28752,29.046,2
Flat Combining (fair priority queue),11,11,2961377,28767,86.599,2
Flat Combining (fair priority queue),12,12,996109,28764,29.055,2
Flat Combining (fair priority queue),13,13,2970841,28765,86.551,2
Flat Combining (fair priority queue),14,14,974153,28572,28.880,2
Flat Combining (fair priority queue),15,15,2953639,28763,86.609,2
Flat Combining (fair priority queue),16,16,972659,28726,29.022,2
Flat Combining (fair priority queue),17,17,2996009,28762,86.741,2
Flat Combining (fair priority queue),18,18,976829,28750,29.037,2
Flat Combining (fair priority queue),19,19,3001960,28759,86.546,2
Flat Combining (fair priority queue),20,20,1000280,28757,29.058,2
Flat Combining (fair priority queue),21,21,2982665,28756,86.542,2
Flat Combining (fair priority queue),22,22,993661,28753,29.050,2
Flat Combining (fair priority queue),23,23,2963048,28724,86.438,2
Flat Combining (fair priority queue),24,24,976457,28753,29.028,2
Flat Combining (fair priority queue),25,25,3000795,28754,86.546,2
Flat Combining (fair priority queue),26,26,971507,28744,29.059,2
Flat Combining (fair priority queue),27,27,3007154,28751,86.543,2
Flat Combining (fair priority queue),28,28,1001273,28751,29.050,2
Flat Combining (fair priority queue),29,29,2970401,28752,86.514,2
Flat Combining (fair priority queue),30,30,595642,17795,17.981,2
Flat Combining (fair priority queue),31,31,2941015,28742,86.656,2
