lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining (fair),0,0,1330568,40901,41.298,2
Flat Combining (fair),1,1,2089610,20268,60.995,2
Flat Combining (fair),2,2,1300951,41386,41.770,2
Flat Combining (fair),3,3,2095008,20313,61.120,2
Flat Combining (fair),4,4,1317361,41822,42.233,2
Flat Combining (fair),5,5,2113033,20281,61.037,2
Flat Combining (fair),6,6,1327950,41907,42.301,2
Flat Combining (fair),7,7,2113588,20383,61.343,2
Flat Combining (fair),8,8,1230135,40576,40.963,2
Flat Combining (fair),9,9,2063061,20101,60.493,2
Flat Combining (fair),10,10,1260286,41752,42.139,2
Flat Combining (fair),11,11,2080651,20211,60.815,2
Flat Combining (fair),12,12,1297738,42068,42.458,2
Flat Combining (fair),13,13,2087484,20202,60.811,2
Flat Combining (fair),14,14,1338389,42093,42.492,2
Flat Combining (fair),15,15,2122753,20344,61.234,2
Flat Combining (fair),16,16,1356238,40707,41.103,2
Flat Combining (fair),17,17,2112915,20430,61.497,2
Flat Combining (fair),18,18,1300077,41074,41.452,2
Flat Combining (fair),19,19,2089218,20187,60.759,2
Flat Combining (fair),20,20,1287434,41800,42.189,2
Flat Combining (fair),21,21,2099096,20206,60.809,2
Flat Combining (fair),22,22,1316698,41976,42.367,2
Flat Combining (fair),23,23,2110043,20343,61.228,2
Flat Combining (fair),24,24,1318204,40230,40.636,2
Flat Combining (fair),25,25,2077051,20209,60.829,2
Flat Combining (fair),26,26,1313844,41931,42.291,2
Flat Combining (fair),27,27,2099394,20298,61.074,2
Flat Combining (fair),28,28,1342685,41337,41.887,2
Flat Combining (fair),29,29,2097712,20236,60.891,2
Flat Combining (fair),30,30,1342084,41856,42.245,2
Flat Combining (fair),31,31,2108208,20354,61.272,2
