lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining (fair),0,0,109903291,3062,3062.025,120
Flat Combining (fair),1,1,164858926,1531,4593.014,120
Flat Combining (fair),2,2,109857280,3061,3061.031,120
Flat Combining (fair),3,3,164871244,1531,4593.016,120
Flat Combining (fair),4,4,164821238,4592,4592.041,120
Flat Combining (fair),5,5,164980658,1532,4596.012,120
Flat Combining (fair),6,6,164826509,4592,4592.038,120
Flat Combining (fair),7,7,164981602,1532,4596.013,120
Flat Combining (fair),8,8,109891737,3062,3062.026,120
Flat Combining (fair),9,9,164981471,1532,4596.016,120
Flat Combining (fair),10,10,109891254,3062,3062.027,120
Flat Combining (fair),11,11,164966411,1532,4596.012,120
Flat Combining (fair),12,12,109908706,3062,3062.025,120
Flat Combining (fair),13,13,164982542,1532,4596.017,120
Flat Combining (fair),14,14,109906494,3062,3062.057,120
Flat Combining (fair),15,15,164915885,1532,4596.013,120
Flat Combining (fair),16,16,164828669,4592,4592.046,120
Flat Combining (fair),17,17,164971886,1532,4596.014,120
Flat Combining (fair),18,18,164829338,4592,4592.044,120
Flat Combining (fair),19,19,164965382,1532,4596.019,120
Flat Combining (fair),20,20,164817538,4592,4592.038,120
Flat Combining (fair),21,21,164905485,1532,4596.014,120
Flat Combining (fair),22,22,109902585,3062,3062.029,120
Flat Combining (fair),23,23,164981637,1532,4596.013,120
Flat Combining (fair),24,24,109908387,3062,3062.029,120
Flat Combining (fair),25,25,164985077,1532,4596.014,120
Flat Combining (fair),26,26,109879864,3062,3062.028,120
Flat Combining (fair),27,27,164915307,1532,4596.013,120
Flat Combining (fair),28,28,109886644,3062,3062.029,120
Flat Combining (fair),29,29,164856735,1531,4593.017,120
Flat Combining (fair),30,30,109861137,3061,3061.031,120
Flat Combining (fair),31,31,164856468,1531,4593.016,120
